No.,Ticker,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Price,Change,Volume
70,QTWO,2.27B,-,66.05,-,4.26,5.16,5.69,-,24.40%,95.45%,-16.90%,34.40%,27.10%,39.76,-0.55%,"392,877"
71,DT,11.21B,280.07,42.04,12.53,11.36,8.46,19.63,38.81,-31.80%,26.13%,130.90%,22.35%,18.00%,39.77,1.56%,"5,024,906"
72,TENB,4.41B,-,102.54,-,7.22,18.69,8.64,48.23,-3.70%,108.56%,-0.60%,15.30%,34.20%,39.99,-1.60%,"789,507"
73,NATI,5.19B,50.65,15.81,8.75,3.31,4.52,-,-,-38.60%,24.51%,0.80%,5.79%,3.70%,40.01,0.70%,"871,729"
74,AVT,3.79B,5.77,6.14,0.55,0.16,0.93,24.68,-,259.80%,-3.11%,27.60%,10.40%,6.90%,40.15,-1.40%,"1,756,861"
75,ST,6.18B,25.71,10.38,1.49,1.59,2.13,3.96,22.62,130.10%,18.18%,8.30%,17.20%,3.60%,41.08,-0.68%,"1,665,448"
76,KLIC,2.39B,5.16,10.42,0.26,1.41,2.03,3.21,6.99,600.30%,-44.99%,53.20%,20.00%,19.30%,41.49,0.51%,"595,647"
77,IIVI,4.45B,23.40,9.96,2.46,1.38,1.57,-,-,-1.30%,14.40%,25.07%,9.53%,-,41.95,0.00%,0
78,COHR,5.43B,29.32,8.68,2.50,1.64,1.42,2.10,84.12,-36.00%,28.43%,-0.40%,11.71%,27.80%,42.39,-2.71%,"1,379,738"
79,CGNX,7.30B,29.15,28.80,1.94,6.73,5.29,20.30,49.28,55.90%,29.12%,13.50%,15.00%,14.40%,42.39,-1.17%,"960,235"
80,CSIQ,2.83B,19.41,11.14,1.62,0.45,1.52,2.68,-,-38.60%,63.78%,5.40%,12.00%,13.10%,42.42,0.62%,"862,568"
82,CSCO,178.17B,15.59,11.56,2.33,3.46,4.52,8.86,23.81,-5.20%,7.76%,3.40%,6.69%,0.20%,43.96,-0.34%,"25,344,755"
83,RNG,4.19B,-,18.08,-,2.31,-,13.68,24.63,-338.20%,28.30%,147.82%,35.00%,33.20%,44.84,-0.62%,"1,187,888"
84,ZI,17.94B,1726.92,43.17,48.41,19.31,8.47,49.06,59.47,372.90%,30.49%,-,35.67%,-,44.90,0.45%,"3,438,380"
85,TSEM,4.94B,28.31,17.50,1.89,3.13,2.92,5.78,27.95,80.10%,10.40%,-7.50%,15.00%,3.80%,45.15,-0.31%,"291,268"
86,G,8.29B,25.37,14.87,2.17,1.95,4.80,17.83,27.87,21.60%,12.80%,8.30%,11.71%,9.40%,45.59,-0.46%,"1,139,467"
87,MRVL,40.86B,-,17.15,-,7.40,2.65,66.21,57.62,-27.40%,22.05%,-41.40%,42.14%,14.20%,48.41,0.81%,"7,354,875"
88,LOGI,8.23B,15.05,11.60,1.67,1.54,3.46,7.44,28.06,-31.40%,15.73%,24.90%,9.00%,19.80%,49.64,-0.42%,"564,045"
89,ITRI,2.25B,-,21.58,-,1.20,2.02,10.77,111.76,-27.40%,207.73%,-33.40%,25.00%,-0.30%,49.81,-0.10%,"264,693"
90,TTEC,2.30B,23.25,12.16,3.00,0.97,4.39,14.11,25.17,17.80%,16.07%,33.40%,7.75%,12.30%,49.97,-2.35%,"109,475"
91,ENV,2.76B,-,21.31,-,2.18,2.98,8.15,16.95,513.70%,24.07%,16.90%,15.00%,15.50%,50.31,-2.50%,"261,396"
92,CVLT,2.27B,102.68,16.82,10.27,2.89,8.49,-,14.25,207.30%,17.69%,130.20%,10.00%,3.60%,51.34,-0.45%,"208,532"
93,FTNT,39.31B,63.73,39.77,2.71,10.30,-,22.40,35.66,24.70%,23.91%,81.90%,23.48%,21.20%,51.94,0.13%,"4,514,580"
94,LSCC,7.29B,54.39,26.52,3.63,12.46,16.52,61.87,41.54,101.20%,18.19%,28.40%,15.00%,3.80%,52.38,1.32%,"1,072,614"
95,MU,58.08B,6.06,13.94,12.62,1.79,1.20,5.68,12.95,116.20%,-53.55%,84.30%,0.48%,17.40%,53.11,-0.95%,"19,893,111"
96,SSNC,13.72B,20.02,10.08,2.54,2.65,2.27,31.30,12.90,27.60%,10.70%,36.30%,7.87%,27.80%,53.92,-1.32%,"1,444,132"
97,MTSI,3.91B,18.40,18.27,1.23,6.00,6.62,7.29,29.19,177.90%,9.58%,58.50%,15.00%,2.20%,56.23,2.37%,"638,318"
98,CALX,3.70B,18.48,50.49,0.92,5.03,6.08,16.46,145.77,550.50%,29.93%,52.50%,20.00%,8.20%,57.86,2.14%,"410,300"
99,JBL,8.03B,10.13,7.53,0.75,0.25,3.52,7.50,73.66,33.00%,5.12%,28.30%,13.53%,9.80%,59.07,-0.05%,"1,054,426"
100,NEWR,4.02B,-,90.93,-,4.89,12.85,4.63,125.51,-22.90%,630.00%,-26.80%,15.00%,24.40%,59.74,-1.50%,"924,575"
102,OKTA,9.64B,-,-,-,6.03,1.76,3.89,278.75,-173.70%,46.80%,-7.80%,25.00%,51.90%,60.80,-1.11%,"5,328,597"
103,GTLB,8.56B,-,-,-,25.70,11.61,9.20,-,-44.70%,12.60%,-,29.40%,-,61.21,5.12%,"2,034,358"
104,TRMB,14.84B,29.91,19.72,2.99,3.95,3.92,42.40,31.56,25.40%,12.71%,30.00%,10.00%,9.10%,61.22,-0.75%,"1,067,791"
105,CDAY,9.36B,-,75.70,-,8.26,4.47,25.22,179.32,75.80%,35.68%,11.60%,60.20%,7.80%,61.32,1.74%,"853,372"
106,JKS,3.08B,-,10.47,-,0.36,1.44,1.60,-,172.20%,34.14%,-11.20%,72.41%,13.80%,61.50,-0.23%,"720,055"
107,CTSH,31.73B,14.40,12.41,1.40,1.65,2.70,13.67,17.72,57.30%,10.06%,9.70%,10.30%,6.50%,62.03,-1.27%,"3,107,577"
108,ACLS,2.06B,14.36,12.58,0.72,2.56,3.56,7.19,16.67,96.60%,6.47%,51.90%,20.00%,19.90%,63.15,0.37%,"209,688"
109,STX,13.09B,8.62,8.67,0.85,1.12,32.76,11.50,16.08,41.60%,57.08%,45.50%,10.09%,-0.90%,63.22,-3.10%,"2,989,168"
110,TTD,30.80B,963.79,55.31,60.24,22.18,17.38,25.39,63.88,-44.10%,15.35%,43.30%,16.00%,42.60%,63.61,-0.38%,"4,099,896"
111,FTV,22.49B,35.34,18.89,3.61,4.08,2.42,-,25.68,-57.30%,9.13%,-5.00%,9.80%,-0.50%,64.08,-0.16%,"1,831,466"
112,SMCI,3.38B,12.17,7.49,1.22,0.65,2.35,12.64,-,154.40%,11.15%,32.70%,10.00%,15.90%,64.38,1.51%,"401,807"
